outcome,effect_col,setting,graph_type,trend,se,df,lower,upper
influence_out_dir,degree_z,base_llms,watts-strogatz,0.002999874130288403,0.013363386875125415,60151.76301085406,-0.02319240989344197,0.02919215815401878
influence_out_dir,degree_z,random_roles,watts-strogatz,0.02441287318984727,0.013363386875126912,60151.76265837286,-0.001779410833889123,0.05060515721358366
influence_out_dir,degree_z,random_experts,watts-strogatz,-0.02433387855823501,0.013363386875126854,60151.76267892966,-0.05052616258197111,0.001858405465501093
influence_out_dir,degree_z,experts,watts-strogatz,0.026103095975782784,0.01336338687512684,60151.762684280686,-8.9188047953246e-05,0.05229537999951882
monotonicity,degree_z,base_llms,erdos-renyi,0.0018440864175756245,0.002809744987982572,60748.811949670126,-0.003663022288696174,0.007351195123847422
monotonicity,degree_z,random_roles,erdos-renyi,-0.015245750702266428,0.0028097449879825654,60748.81180536909,-0.020752859408538476,-0.00973864199599438
monotonicity,degree_z,random_experts,erdos-renyi,-0.012322289674794415,0.0028097449879825646,60748.811814117296,-0.017829398381066446,-0.006815180968522386
monotonicity,degree_z,experts,erdos-renyi,-0.013037743167836109,0.002809744987982564,60748.811812239335,-0.01854485187410814,-0.007530634461564078
monotonicity,degree_z,base_llms,watts-strogatz,0.004533857714441297,0.009647723559433406,60151.99166976705,-0.014375713488810577,0.02344342891769317
monotonicity,degree_z,random_roles,watts-strogatz,-0.016073712263634285,0.009647723559434015,60151.990641050565,-0.03498328346689386,0.002835858939625291
monotonicity,degree_z,random_experts,watts-strogatz,-0.06626925020819623,0.009647723559433961,60151.99064339671,-0.08517882141145569,-0.04735967900493677
monotonicity,degree_z,experts,watts-strogatz,-0.031671408125141284,0.009647723559433947,60151.990631058914,-0.05058097932840079,-0.012761836921881774
net_change,degree_z,base_llms,erdos-renyi,0.0011933471358766593,0.00237102310361054,61201.70628588891,-0.0034538646599611557,0.005840558931714474
net_change,degree_z,random_roles,erdos-renyi,-0.0017445403116528252,0.002371023103610525,61201.70624173907,-0.006391752107490677,0.002902671484185026
net_change,degree_z,random_experts,erdos-renyi,-0.014089022830009464,0.0023710231036105237,61201.70624046855,-0.018736234625847316,-0.009441811034171613
net_change,degree_z,experts,erdos-renyi,-0.00022992358175096114,0.002371023103610522,61201.70623784506,-0.004877135377588812,0.004417288214086891
net_change,degree_z,base_llms,watts-strogatz,0.0036297011156469585,0.008168225824670809,60152.110800938026,-0.012380049462112032,0.01963945169340595
net_change,degree_z,random_roles,watts-strogatz,-0.0024206152503255833,0.008168225824670939,60152.11005346108,-0.01843036582808883,0.013589135327437663
net_change,degree_z,random_experts,watts-strogatz,0.0012844169473935699,0.008168225824670883,60152.110048557784,-0.014725333630369594,0.017294167525156733
net_change,degree_z,experts,watts-strogatz,0.021442752754758227,0.008168225824670902,60152.11007616839,0.005433002176995171,0.037452503332521286
net_gain,degree_z,base_llms,erdos-renyi,-0.004947640017206614,0.0027133546186855267,60769.47580724539,-0.010265823271003272,0.0003705432365900428
net_gain,degree_z,random_roles,erdos-renyi,0.0035817952734590545,0.00271335461868558,60769.475739975394,-0.0017363879803378246,0.008899978527255933
net_gain,degree_z,random_experts,erdos-renyi,0.0036774189123766083,0.0027133546186855796,60769.47574721928,-0.001640764341420257,0.008995602166173473
net_gain,degree_z,experts,erdos-renyi,-0.001301697984066629,0.0027133546186855774,60769.47574130725,-0.006619881237863501,0.004016485269730242
net_gain,degree_z,base_llms,watts-strogatz,-0.0030876251929149064,0.009317854060163139,60152.0341518808,-0.021350651048105164,0.015175400662275351
net_gain,degree_z,random_roles,watts-strogatz,-0.014153967395790957,0.009317854060162948,60152.03472467734,-0.03241699325097734,0.0041090584593954285
net_gain,degree_z,random_experts,watts-strogatz,0.037827249717592305,0.009317854060162901,60152.03471732197,0.019564223862405968,0.05609027557277864
net_gain,degree_z,experts,watts-strogatz,0.001317328464689676,0.00931785406016289,60152.034728811304,-0.016945697390496575,0.019580354319875926
progress_efficiency,degree_z,base_llms,erdos-renyi,-0.008058080774014749,0.004666144711495296,60491.41416872582,-0.01720373934940808,0.0010875778013785843
progress_efficiency,degree_z,random_roles,erdos-renyi,0.005854893677385637,0.004666144711495199,60491.4141652237,-0.003290764898007517,0.015000552252778791
progress_efficiency,degree_z,random_experts,erdos-renyi,0.002996123585388484,0.004666144711495198,60491.41417098439,-0.006149534990004651,0.01214178216078162
progress_efficiency,degree_z,experts,erdos-renyi,0.00041243993139816575,0.004666144711495196,60491.4141636623,-0.008733218643994985,0.009558098506791316
progress_efficiency,degree_z,base_llms,watts-strogatz,-0.0062910443607225855,0.016000420554666127,60152.01806810185,-0.03765192342135054,0.02506983469990537
progress_efficiency,degree_z,random_roles,watts-strogatz,-0.01771236784466539,0.01600042055466658,60152.019209021804,-0.04907324690528227,0.013648511215951491
progress_efficiency,degree_z,random_experts,watts-strogatz,0.01944894189219903,0.016000420554666488,60152.01916481473,-0.011911937168418128,0.05080982095281619
progress_efficiency,degree_z,experts,watts-strogatz,-0.012260681112011333,0.016000420554666515,60152.01918225462,-0.04362156017262837,0.0191001979486057
progress_forward,degree_z,base_llms,erdos-renyi,-0.008044189565498735,0.006033494829734378,60916.63694247785,-0.019869857099134,0.003781477968136531
progress_forward,degree_z,random_roles,erdos-renyi,0.02134273146551298,0.006033494829734238,60916.63704115805,0.009517063931878367,0.03316839899914759
progress_forward,degree_z,random_experts,erdos-renyi,0.002233385683510109,0.00603349482973424,60916.63704747526,-0.00959228185012448,0.014059053217144698
progress_forward,degree_z,experts,erdos-renyi,0.0225061667258339,0.006033494829734234,60916.63704814659,0.010680499192199325,0.03433183425946848
progress_forward,degree_z,base_llms,watts-strogatz,-0.016379264845682293,0.020738232722165306,60152.01769475483,-0.05702627197334186,0.024267742281977277
progress_forward,degree_z,random_roles,watts-strogatz,0.015366091326344943,0.020738232722163522,60152.01749053342,-0.025280915801313905,0.05601309845400379
progress_forward,degree_z,random_experts,watts-strogatz,0.005520764366595262,0.020738232722163377,60152.01752075088,-0.03512624276106288,0.04616777149425341
progress_forward,degree_z,experts,watts-strogatz,0.08967403213430963,0.020738232722163387,60152.017511096696,0.04902702500665133,0.13032103926196795
progress_backward,degree_z,base_llms,erdos-renyi,-0.0030889989577081384,0.005963740492329372,60930.85369141035,-0.014777947731583061,0.008599949816166783
progress_backward,degree_z,random_roles,erdos-renyi,0.017719806838244832,0.00596374049232938,60930.853724603854,0.006030858064370023,0.02940875561211964
progress_backward,degree_z,random_experts,erdos-renyi,-0.0013699668634252222,0.00596374049232938,60930.85373150919,-0.013058915637300007,0.010318981910449563
progress_backward,degree_z,experts,erdos-renyi,0.02383013634975445,0.005963740492329379,60930.853730776005,0.012141187575879665,0.03551908512362924
progress_backward,degree_z,base_llms,watts-strogatz,-0.01329163965282449,0.02050040514191444,60152.01032471475,-0.05347250390914747,0.02688922460349849
progress_backward,degree_z,random_roles,watts-strogatz,0.029520058722114925,0.020500405141915187,60152.01043729204,-0.010660805534208007,0.06970092297843786
progress_backward,degree_z,random_experts,watts-strogatz,-0.0323064853509986,0.020500405141915055,60152.01042702951,-0.07248734960732141,0.007874378905324206
progress_backward,degree_z,experts,watts-strogatz,0.08835670366968501,0.020500405141915066,60152.01041745383,0.04817583941336205,0.12853756792600796
plasticity_tv,degree_z,base_llms,erdos-renyi,-0.0011243916018945212,0.0012054940534274694,60925.433517321464,-0.0034871634697769263,0.0012383802659878837
plasticity_tv,degree_z,random_roles,erdos-renyi,0.003945197529630235,0.0012054940534274867,60925.43362809046,0.001582425661747882,0.006307969397512587
plasticity_tv,degree_z,random_experts,erdos-renyi,-0.0015504554346756818,0.0012054940534274871,60925.433633022454,-0.0039132273025580325,0.0008123164332066684
plasticity_tv,degree_z,experts,erdos-renyi,0.004074343698814993,0.0012054940534274858,60925.43363250363,0.0017115718309326454,0.00643711556669734
plasticity_tv,degree_z,base_llms,watts-strogatz,-0.002725814421990679,0.00414374570057279,60152.010316502216,-0.010847570180222931,0.005395941336241574
plasticity_tv,degree_z,random_roles,watts-strogatz,0.004515150260350164,0.004143745700572547,60152.01039904523,-0.0036066054978813877,0.012636906018581716
plasticity_tv,degree_z,random_experts,watts-strogatz,0.00016996549949690456,0.00414374570057252,60152.01037728878,-0.007951790258734654,0.008291721257728464
plasticity_tv,degree_z,experts,watts-strogatz,0.023608784544469644,0.004143745700572523,60152.01037646756,0.015487028786238078,0.03173054030270121
plasticity_neither,degree_z,base_llms,erdos-renyi,-6.093367364679623e-05,0.0004474323746871669,57053.32896338698,-0.0009379036181284621,0.0008160362708348696
plasticity_neither,degree_z,random_roles,erdos-renyi,0.0001105237618096455,0.00044743237468716063,57053.32893373585,-0.0007664461826720178,0.0009874937062913087
plasticity_neither,degree_z,random_experts,erdos-renyi,-0.004151260304540026,0.00044743237468716036,57053.32892961125,-0.00502823024902169,-0.0032742903600583625
plasticity_neither,degree_z,experts,erdos-renyi,-0.0011112026275748729,0.0004474323746871602,57053.328925579204,-0.001988172572056538,-0.00023423268309320777
plasticity_neither,degree_z,base_llms,watts-strogatz,0.00015467290250954373,0.0015795657896914641,60149.07172846323,-0.0029412814555900965,0.0032506272606091843
plasticity_neither,degree_z,random_roles,watts-strogatz,-3.7084805564927426e-05,0.001579565789691384,60149.071186789384,-0.0031330391636649716,0.0030588695525351167
plasticity_neither,degree_z,random_experts,watts-strogatz,0.006172770523624772,0.0015795657896913774,60149.07116147532,0.0030768161655247146,0.00926872488172483
plasticity_neither,degree_z,experts,watts-strogatz,0.015936960261056697,0.0015795657896913757,60149.07126603526,0.012841005902956752,0.019032914619156644
plasticity_true,degree_z,base_llms,erdos-renyi,-0.0011303166467260205,0.0011642090185352378,60907.431952544735,-0.003412169738958852,0.001151536445506811
plasticity_true,degree_z,random_roles,erdos-renyi,0.0039018865355958236,0.00116420901853524,60907.43195037293,0.0016200334433629864,0.006183739627828661
plasticity_true,degree_z,random_experts,erdos-renyi,0.00040813136315276215,0.0011642090185352393,60907.431949323276,-0.0018737217290800742,0.0026899844553855985
plasticity_true,degree_z,experts,erdos-renyi,0.004842663675343762,0.0011642090185352385,60907.431950113285,0.0025608105831109278,0.007124516767576597
plasticity_true,degree_z,base_llms,watts-strogatz,-0.0029537418096574073,0.00400135928002666,60152.010635789826,-0.01079641969619299,0.004888936076878175
plasticity_true,degree_z,random_roles,watts-strogatz,0.0044574635034654786,0.00400135928002695,60152.01069252777,-0.0033852143830705233,0.01230014139000148
plasticity_true,degree_z,random_experts,watts-strogatz,-0.0022697526871256154,0.004001359280026933,60152.010661375396,-0.010112430573661667,0.005572925199410437
plasticity_true,degree_z,experts,watts-strogatz,0.01794667859988733,0.004001359280026942,60152.01066779859,0.01010400071335128,0.025789356486423384
plasticity_false,degree_z,base_llms,erdos-renyi,-0.001063227899255838,0.0011541566659857851,60899.62592344101,-0.0033253783567593906,0.0011989225582477146
plasticity_false,degree_z,random_roles,erdos-renyi,0.0038753945917301092,0.0011541566659857662,60899.6258663629,0.0016132441342265515,0.006137545049233667
plasticity_false,degree_z,random_experts,erdos-renyi,0.0010164080979003828,0.001154156665985766,60899.62586493211,-0.0012457423596031753,0.0032785585554039407
plasticity_false,degree_z,experts,erdos-renyi,0.004788985599057668,0.001154156665985765,60899.62586280167,0.0025268351415541107,0.007051136056561226
plasticity_false,degree_z,base_llms,watts-strogatz,-0.0026525599367841985,0.00396660832568757,60152.01928955254,-0.01042712583383119,0.005122005960262794
plasticity_false,degree_z,random_roles,watts-strogatz,0.004609921822791737,0.003966608325687941,60152.01955322814,-0.0031646440742552975,0.012384487719838772
plasticity_false,degree_z,random_experts,watts-strogatz,-0.0035630868375083223,0.003966608325687914,60152.01958376458,-0.011337652734555226,0.00421147905953858
plasticity_false,degree_z,experts,watts-strogatz,0.013333930227988126,0.003966608325687925,60152.019568593256,0.005559364330941162,0.02110849612503509
