outcome,effect_col,setting,graph_type,trend,se,df,lower,upper
polarization_T,avg_path_length_z,random_roles,watts-strogatz,0.00758703662959416,0.01526063211342287,1245.0000020015186,-0.022352358702475345,0.037526431961663664
polarization_T,avg_path_length_z,random_experts,watts-strogatz,0.010098411437853283,0.01526063211342324,1245.0000007491378,-0.01984098389424625,0.04003780676995282
polarization_T,avg_path_length_z,experts,watts-strogatz,0.032555937271894264,0.01526063211342307,1245.0000007868582,0.002616541939795946,0.06249533260399258
entropy_change,avg_path_length_z,base_llms,erdos-renyi,0.10321265417888761,0.17015039601649534,95.80093713212902,-0.2345421690764474,0.4409674774342226
entropy_change,avg_path_length_z,random_roles,erdos-renyi,0.11161540742041108,0.17015039601658463,95.80092575207186,-0.2261394163482086,0.4493702311890308
entropy_change,avg_path_length_z,random_experts,erdos-renyi,-0.1230837143528967,0.17015039601660853,95.8009219470824,-0.4608385382931244,0.21467110958733102
entropy_change,avg_path_length_z,experts,erdos-renyi,-0.19311757228822887,0.17015039601660423,95.80092122998288,-0.5308723962607808,0.14463725168432304
entropy_change,avg_path_length_z,base_llms,watts-strogatz,-0.002296129864958904,0.037231359395783446,95.80092780266673,-0.07620175407943885,0.07160949434952105
entropy_change,avg_path_length_z,random_roles,watts-strogatz,0.014049337543817349,0.037231359395783446,95.80092809668142,-0.059856286667761854,0.08795496175539655
entropy_change,avg_path_length_z,random_experts,watts-strogatz,0.007610929566299385,0.03723135939578335,95.80092728809464,-0.06629469465325712,0.08151655378585589
entropy_change,avg_path_length_z,experts,watts-strogatz,0.08118750251044587,0.03723135939578307,95.80092732872586,0.007281878291290789,0.15509312672960096
polarization_change,avg_path_length_z,base_llms,erdos-renyi,0.07640907056269004,0.06295081248769134,160.32907922449903,-0.04791064278972819,0.2007287839151083
polarization_change,avg_path_length_z,random_roles,erdos-renyi,0.04149097226396283,0.06295081248770175,160.32908567714756,-0.08282874105042795,0.16581068557835363
polarization_change,avg_path_length_z,random_experts,erdos-renyi,-0.06743226924722685,0.06295081248771507,160.3290614846773,-0.19175198270429464,0.05688744420984093
polarization_change,avg_path_length_z,experts,erdos-renyi,-0.07598530268234181,0.06295081248771116,160.32906996120371,-0.20030501608942008,0.04833441072473646
polarization_change,avg_path_length_z,base_llms,watts-strogatz,-0.006104257120523787,0.013774545219147123,160.32904963268126,-0.03330720253036447,0.02109868828931689
polarization_change,avg_path_length_z,random_roles,watts-strogatz,0.0075870366295938685,0.01377454521914717,160.32904953424804,-0.019615908780373902,0.03478998203956164
polarization_change,avg_path_length_z,random_experts,watts-strogatz,0.006780247106223963,0.013774545219147028,160.32905345277425,-0.0204226982986877,0.03398319251113563
polarization_change,avg_path_length_z,experts,watts-strogatz,0.03255593727189249,0.013774545219147108,160.32904678450058,0.005352991858377013,0.059758882685407966
modal_consensus_change,avg_path_length_z,base_llms,erdos-renyi,-0.03661407004985489,0.08820739236423,1244.999880796585,-0.20966561678958548,0.1364374766898757
modal_consensus_change,avg_path_length_z,random_roles,erdos-renyi,0.010993814221068675,0.08820739236425787,1244.9999612602812,-0.16205773250783326,0.18404536094997062
modal_consensus_change,avg_path_length_z,random_experts,erdos-renyi,0.03868620257316104,0.088207392364277,1244.9999709499352,-0.13436534415446783,0.21173774930078992
modal_consensus_change,avg_path_length_z,experts,erdos-renyi,0.04960966661590047,0.0882073923642686,1244.9999604667541,-0.12344188011312987,0.2226612133449308
modal_consensus_change,avg_path_length_z,base_llms,watts-strogatz,0.0031500185804382297,0.01930104897409958,1244.999967027031,-0.03471615441161795,0.041016191572494407
modal_consensus_change,avg_path_length_z,random_roles,watts-strogatz,-0.0031285836333515074,0.019301048974099445,1244.9999684382303,-0.040994756625365655,0.03473758935866264
modal_consensus_change,avg_path_length_z,random_experts,watts-strogatz,-0.009393712451827546,0.01930104897409949,1244.9999698401384,-0.0472598854438003,0.028472460540145204
modal_consensus_change,avg_path_length_z,experts,watts-strogatz,-0.04455621207184765,0.019301048974099625,1244.999966123497,-0.08242238506393065,-0.006690039079764641
